# Norwegian municipality coordinates - Data source: Kartverket (Norwegian Mapping Authority)
# License: Norwegian License for Open Government Data (NLOD) 2.0
kommune,fylke,latitude,longitude
Melhus,,63.1595,10.2708
Meløy,,66.9267,13.3221
Meråker,,63.4039,11.8315
Midt-Telemark,,59.4298,9.1354
Midtre Gauldal,,62.9019,10.5343
Modalen,,60.8874,5.9293
Modum,,59.9848,9.9619
Molde,,62.6569,7.7309
Moskenes,,67.9085,12.8948
Moss,,59.4113,10.6664
Målselv,,68.9153,19.3762
Måsøy,,71.0010,24.4594
Namsos - Nåavmesjenjaelmie,,64.4880,11.3969
Namsskogan,,64.8649,13.0096
Nannestad,,60.2337,10.9618
Narvik,,68.2775,17.2158
Nes,,60.1394,11.4993
Nesbyen,,60.5514,9.0724
Nesna,,66.2423,12.9670
Nesodden,,59.8076,10.6435
Nissedal,,59.0595,8.5412
Nittedal,,60.0835,10.8534
Nome,,59.2744,9.1255
Nord-Aurdal,,60.9662,9.2823
Nord-Fron,,61.5831,9.5213
Nord-Odal,,60.4380,11.5818
Nordkapp,,71.0834,25.9658
Nordre Follo,,59.7438,10.8739
Nordre Land,,60.9457,9.9693
Nordreisa - Ráisa - Raisi,,69.5340,21.5388
Nore og Uvdal,,60.2770,8.4482
Notodden,,59.6529,9.1523
Nærøysund,,64.9075,10.9500
Oppdal,,62.5410,9.5404
Orkland,,63.2960,9.6444
Os,,62.4459,11.3108
Osen,,64.4417,10.0979
Oslo,,59.9754,10.7388
Osterøy,,60.5380,5.5470
Overhalla,,64.4558,11.9040
Porsanger - Porsáŋgu - Porsanki,,70.2054,25.1773
Porsgrunn,,59.1083,9.7541
Raarvihke - Røyrvik,,64.9011,13.6367
Rakkestad,,59.3716,11.4166
Rana,,66.4112,14.4875
Randaberg,,59.0119,5.5584
Rauma,,62.4562,7.7586
Rendalen,,61.8183,11.2783
Rennebu,,62.8083,9.8802
Rindal,,63.0319,9.2928
Ringebu,,61.5574,10.3193
Ringerike,,60.2944,10.0879
Ringsaker,,60.9956,10.8507
Risør,,58.6806,9.3289
Rollag,,60.0106,9.2174
Rosse - Røros,,62.5771,11.7295
Råde,,59.3314,10.8116
Rælingen,,59.8823,11.0773
Rødøy,,66.7625,12.7352
Røst,,67.3851,11.9819
Salangen,,68.8929,17.8488
Saltdal,,66.8913,15.5255
Samnanger,,60.3968,5.7887
Sande,,62.2796,5.3186
Sandefjord,,59.1537,10.2231
Sandnes,,58.9766,6.2958
Sarpsborg,,59.2799,11.1603
Sauda,,59.7004,6.4467
Sel,,61.7741,9.4748
Selbu,,63.2002,11.1372
Seljord,,59.5658,8.5352
Senja,,69.3921,17.3306
Sigdal,,60.1364,9.4558
Siljan,,59.3100,9.7255
Sirdal,,58.8662,6.8393
Skaun,,63.2740,10.0357
Skien,,59.2544,9.4865
Skiptvet,,59.4797,11.1525
Skjervøy,,70.1416,20.7185
Skjåk,,61.9335,7.8866
Smøla,,63.4632,7.7531
Snåase - Snåsa,,64.2047,12.6277
Sogndal,,61.2777,6.7926
Sokndal,,58.2622,6.1992
Sola,,58.8859,5.3468
Solund,,61.0703,4.5203
Sortland - Suortá,,68.7430,15.5083
Stad,,62.0808,5.3850
Stange,,60.6439,11.3333
Stavanger,,59.1398,5.7856
Steigen,,67.8148,14.7649
Steinkjer,,64.0454,11.5103
Stjørdal,,63.4670,11.1853
Stor-Elvdal,,61.5889,10.7845
Stord,,59.8153,5.4825
Storfjord - Omasvuotna - Omasvuono,,69.2305,20.3640
Strand,,59.0318,6.0231
Stranda,,62.1399,6.9838
Stryn,,61.8499,6.8977
Sula,,62.4152,6.1900
Suldal,,59.5092,6.5625
Sunndal,,62.5945,8.7033
Sunnfjord,,61.4698,6.0999
Surnadal,,62.9226,8.8402
Sveio,,59.5979,5.4040
Sykkylven,,62.3591,6.6439
Sømna,,65.3398,11.7834
Søndre Land,,60.6767,10.2708
Sør-Aurdal,,60.6792,9.6320
Sør-Fron,,61.5370,9.7868
Sør-Odal,,60.2236,11.7538
Sør-Varanger,,69.6884,29.7688
Sørfold,,67.5145,15.7508
Sørreisa,,69.0973,18.1578
Time,,58.7082,5.7709
Tingvoll,,62.9626,8.1593
Tinn,,59.9973,8.5626
Tokke,,59.4620,7.9114
Tolga,,62.3569,11.0823
Tromsø,,69.7444,18.6300
Trondheim - Tråante,,63.3697,10.3964
Trysil,,61.3281,12.2888
Træna,,66.5521,11.8970
Tvedestrand,,58.5798,9.1450
Tydal,,63.0079,11.8079
Tynset,,62.3998,10.5413
Tysnes,,60.0056,5.5490
Tysvær,,59.3603,5.6151
Tønsberg,,59.3547,10.3239
Ullensaker,,60.1506,11.1965
Ullensvang,,60.1082,6.7918
Ulstein,,62.3771,5.8287
Ulvik,,60.6069,7.1732
Unjárga - Nesseby,,70.1326,28.7983
Utsira,,59.2706,4.7061
